Year,Total_Rainfall_mm,State,Average_Annual_Rainfall_per_sqkm
2020,3139.2000000000003,,
2021,2635.2,,
2021,2272.0,,
2021,2796.7,,
2021,2506.0,,
2021,2059.51,,
2021,2641.875,,
2021,1889.75,,
2021,2336.866666666667,,
2021,2081.0,,
2021,2107.5,,
2021,2711.866666666667,,
2021,3991.925,,
2021,2812.1000000000004,,
2021,2569.16,,
2021,2518.3999999999996,,
2021,2812.1000000000004,,
2021,4127.5,,
2021,2812.1000000000004,,
